event,timestamp,nfInstanceId,nfType,nfStatus,nfLoadLevel,nfCpuUsage
NETWORK FUNCTION LOAD,2024-05-01 00:00:00,INSTANCE-1,AMF,REGISTERED,32.65702899841236,70.15908178466758
NETWORK FUNCTION LOAD,2024-05-01 00:05:00,INSTANCE-1,AMF,REGISTERED,36.619770736807446,70.91913091942496
NETWORK FUNCTION LOAD,2024-05-01 00:10:00,INSTANCE-1,AMF,REGISTERED,35.93059120828918,65.21045249987598
NETWORK FUNCTION LOAD,2024-05-01 00:15:00,INSTANCE-1,AMF,REGISTERED,38.34118536854204,59.81802496729093
NETWORK FUNCTION LOAD,2024-05-01 00:20:00,INSTANCE-1,AMF,REGISTERED,37.021880542771044,68.16508030307955
NETWORK FUNCTION LOAD,2024-05-01 00:25:00,INSTANCE-1,AMF,REGISTERED,40.91561522380603,65.00306185606362
NETWORK FUNCTION LOAD,2024-05-01 00:30:00,INSTANCE-1,AMF,REGISTERED,39.37299660202355,72.42670107778673
NETWORK FUNCTION LOAD,2024-05-01 00:35:00,INSTANCE-1,AMF,REGISTERED,39.71927021065157,64.87496303356447
NETWORK FUNCTION LOAD,2024-05-01 00:40:00,INSTANCE-1,AMF,REGISTERED,37.11899876888882,63.29297262953944
NETWORK FUNCTION LOAD,2024-05-01 00:45:00,INSTANCE-1,AMF,REGISTERED,36.70837941917067,64.23444165001459
NETWORK FUNCTION LOAD,2024-05-01 00:50:00,INSTANCE-1,AMF,REGISTERED,35.62819140651865,69.05220224614574
NETWORK FUNCTION LOAD,2024-05-01 00:55:00,INSTANCE-1,AMF,REGISTERED,37.42305476544444,69.71154607052473
NETWORK FUNCTION LOAD,2024-05-01 01:00:00,INSTANCE-1,AMF,REGISTERED,32.72360115075079,73.40629271612451
NETWORK FUNCTION LOAD,2024-05-01 01:05:00,INSTANCE-1,AMF,REGISTERED,32.388519893969466,60.75051532372346
NETWORK FUNCTION LOAD,2024-05-01 01:10:00,INSTANCE-1,AMF,REGISTERED,33.51812200701323,66.36382234219562
