event,timestamp,snssais,sliceLoadLevel,numOfUes,numOfUesReg
SLICE LOAD LEVEL,2024-05-01 00:00:00,SLICE-1,11.506017897786835,27,500
SLICE LOAD LEVEL,2024-05-01 00:05:00,SLICE-1,8.339486903399845,0,500
SLICE LOAD LEVEL,2024-05-01 00:10:00,SLICE-1,7.797436214932858,128,500
SLICE LOAD LEVEL,2024-05-01 00:15:00,SLICE-1,9.012189932392001,254,500
SLICE LOAD LEVEL,2024-05-01 00:20:00,SLICE-1,15.216659979243843,343,500
SLICE LOAD LEVEL,2024-05-01 00:25:00,SLICE-1,10.734210398203917,492,500
SLICE LOAD LEVEL,2024-05-01 00:30:00,SLICE-1,11.664536944416298,530,500
SLICE LOAD LEVEL,2024-05-01 00:35:00,SLICE-1,11.046818597355816,462,500
SLICE LOAD LEVEL,2024-05-01 00:40:00,SLICE-1,13.058377585506411,279,500
SLICE LOAD LEVEL,2024-05-01 00:45:00,SLICE-1,9.702120554855995,315,500
SLICE LOAD LEVEL,2024-05-01 00:50:00,SLICE-1,5.497939194590951,104,500
SLICE LOAD LEVEL,2024-05-01 00:55:00,SLICE-1,7.8619807127317465,50,500
SLICE LOAD LEVEL,2024-05-01 01:00:00,SLICE-1,4.298943336606549,41,500
SLICE LOAD LEVEL,2024-05-01 01:05:00,SLICE-1,6.998983928616209,0,500
SLICE LOAD LEVEL,2024-05-01 01:10:00,SLICE-1,8.677816521331566,0,500
SLICE LOAD LEVEL,2024-05-01 01:15:00,SLICE-1,9.753234495607904,0,500
SLICE LOAD LEVEL,2024-05-01 01:20:00,SLICE-1,10.1694160096174,57,500
SLICE LOAD LEVEL,2024-05-01 01:25:00,SLICE-1,12.700180742169175,128,500
SLICE LOAD LEVEL,2024-05-01 01:30:00,SLICE-1,7.094731999214931,104,500
SLICE LOAD LEVEL,2024-05-01 01:35:00,SLICE-1,8.66529664593697,200,500
SLICE LOAD LEVEL,2024-05-01 01:40:00,SLICE-1,8.739850792446575,96,500
SLICE LOAD LEVEL,2024-05-01 01:45:00,SLICE-1,6.371512401985627,0,500
SLICE LOAD LEVEL,2024-05-01 01:50:00,SLICE-1,9.394014502468574,0,500
SLICE LOAD LEVEL,2024-05-01 01:55:00,SLICE-1,7.220217312516436,3,500
SLICE LOAD LEVEL,2024-05-01 02:00:00,SLICE-1,9.350133542492827,52,500
